Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Animalia,Lepidoptera,Aglais,io,"Egg, Larva, Adult","Clark and Faeth, 1998; Willmer, 1980; Mazer and App, 2001; Rowley and Hanson, 2007; Davies et al., 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Lepidoptera,Heliconius,charitonia,"Egg, Larva, Adult","Clark and Faeth, 1998; Willmer, 1980; Mazer and App, 2001; Rowley and Hanson, 2007; Davies et al., 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Lepidoptera,Manduca,sexta,"Egg, Larva, Adult","Clark and Faeth, 1998; Willmer, 1980; Mazer and App, 2001; Rowley and Hanson, 2007; Davies et al., 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Hymenoptera,Ceratosolen,galili,Adult,"Warren et al., 2010; Atmowidjojo et al., 1997",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Hymenoptera,Ceratosolen,arabicus,Adult,"Warren et al., 2010; Atmowidjojo et al., 1997",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Hymenoptera,Apis,mellifera,Adult,"Warren et al., 2010; Atmowidjojo et al., 1997",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Diptera,Aedes,albopictus,"Egg, Larva, Adult","Sota and Mogi, 1992; Alto and Juliano, 2001; Hidalgo et al., 2014; Wakada et al., 2016; Diniz et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Diptera,Culex,pipiens,"Egg, Larva, Adult","Sota and Mogi, 1992; Alto and Juliano, 2001; Hidalgo et al., 2014; Wakada et al., 2016; Diniz et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Diptera,Anopheles,gambiae,"Egg, Larva, Adult","Sota and Mogi, 1992; Alto and Juliano, 2001; Hidalgo et al., 2014; Wakada et al., 2016; Diniz et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Polypedilum,vanderplanki,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
