"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,elongatus,10,,,,,"Gaff and Sutaryono 1991, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,festivus,0,,,,,"Gaff and Ellis 1974, Kaiser et al 1985, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,fimbriatus,0,,poiki,,,"Gaff and Ellis 1974, Gaff 1986"
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,lampranthus,0,,,,immature tissue only,"Gaff and Ellis 1974, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,pellucidus,5,,poiki,,,"Gaff 1986, Nugent and Gaff 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Sporobolus,stapfianus,2,,homoi,,yes,"Gaff and Ellis 1974, Kaiser et all 1985, Sgherri et al 1989, Blomstedt et al 2018, Martinelli et al 2007"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,capillatus,0,,,,,"Gaff and Bole 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,curvatus,2,,homoi,,,"Gaff and Sutaryono 1991, Gaff 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,filiformis,2,,,,,"Gaff and Bole 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,jacquemontii,0,,,,,"Gaff and Bole 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,lisboae,0,,,,,"Gaff and Bole 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,lolioformis,0,,homoi,,,"Gaff and Latz 1978, Blomstedt et al 2018, Scharaschkin and Fabillo 2015"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,major,0,,,,,Blomstedt et al 2018
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,minimus,2,,homoi,,,"Gaff and Ellis 1974, Gaff 1986, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Poaceae,Tripogon,polyanthus,2,,,,,"Gaff and Bole 1986, Blomstedt et al 2018"
