"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Pteridophytes,Polypodiopsida,Polypodiales,Grammitidaceae,Ctenopteris,heterophylla,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Loxogramme,abyssinica,,15,homoi,no,,Mkhize et al. 2020
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Platycerium,stemaria,,,homoi,,,Hambler 1961
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Platycerium,stemaria,,,homoi,,,Hambler 1961
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,cambricum,50,,homoi,,,"Proctor and Pence 2002, Proctor 2010"
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,interjectum,50,,homoi,,,Proctor 2010
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,polypodiodes,2,,homoi,,,"Pessin 1924, Stuart 1968, Gaff 1977, Iturriaga 2000"
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,virginianum,,,homoi,,,Reynolds and Bewley 1993
Pteridophytes,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,vulgare,,,homoi,,,Kappen 1964
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Actiniopteris,dimorpha,,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Actiniopteris,radiata,10,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,incisum,5,,homoi,,yes,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,raddianum,,,homoi,,,Banupriya at al 2020
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,albomarginata,,9.2,homoi,,,Chaitra et al. 2017
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,bonariensis,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,buchtienii,,7.4,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,capensis,,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,depauperata,2,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,dinteri,0,,homoi,,yes,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,distans,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,eckloniana,2,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,farinosa,15,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,fragillima,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,glauca,,4,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,hirta,0,,homoi,,yes,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,inaequalis,5,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,integerrima,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,lasiophylla,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,lendigera,,,homoi,,,Wittrock 1891
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,marginata,,7.4,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,marlothii,0,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,multifida,5,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,myriophylla,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,parviloba,30,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,paucijuga,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,pringlei,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,sieberi,,,homoi,,,"Gaff and Latz 1978, Gaff and Mcgregor 1979"
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,tenuifolia,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,tomentosa,,,homoi,,,Harten and Eickmeier 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,vellea,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,wrightii,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Doryopteris,concolor,15,,homoi,,yes,"Gaff 1971, 1977"
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Doryopteris,kitchingii,20,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Doryopteris,pedata,,,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Doryopteris,triphylla,,8.2,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Notholaena,marantae,,,homoi,,,Iljin 1931
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Notholaena,parryi,,,homoi,,,Nobel 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Notholaena,R. Br. Sp.,,,homoi,,,Porembski and Barthlott 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Notholaena,sinuata var. cochisensis,,,homoi,,,Harten and Eickmeier 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Paraceterach,muelleri,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,atropurpurea,20,,homoi,,,Pickett and Manuel 1926
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,boivinii,15,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,calomelanos,5,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,cordata,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,falcata,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,glabella,,,homoi,,,Pickett and Manuel 1926
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,hastata,,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,longimucronata,,,homoi,,,Helvy 1963
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,ovata,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,quadripinnata,0,,homoi,,yes,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,rotundifolia,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,sagittata,,,homoi,,,Iturriaga et al. 2000
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,ternifolia,,,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,viridis,5,,homoi,,yes,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,ilvensis,,,homoi,,,Wittrock 1891
Pteridophytes,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,caffrorum,0,,homoi,"yes, seasonal",,"Gaff 1971 1977, Farrant 2007, 2009"
Pteridophytes,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,tomentosa,,8.1,homoi,,,Gaff 1987
Pteridophytes,Polypodiopsida,Schizaeales,Schizaeaceae,Schizaea,sm. Sp,,,homoi,,,Porembski and Barthlott 2000
