"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","Class","Phylum","Kingdom","Order"
"iodidimonadales","Iodidimonadales",FALSE,1,7028110,FALSE,"barren, merged",1,NA,NA,"Bacteria","Iodidimonadales"
"micropepsales","Micropepsales",FALSE,1,7023620,FALSE,"",1,NA,NA,"Bacteria","Micropepsales"
"holosporales","Holosporales",FALSE,1,7027057,FALSE,"barren, merged",1,NA,NA,"Bacteria","Holosporales"
"rhodothalassiales","Rhodothalassiales",FALSE,1,5575354,FALSE,"barren, merged",1,NA,NA,"Bacteria","Rhodothalassiales"
"magnetococcales","Magnetococcales",FALSE,1,1077608,FALSE,"",1,NA,NA,"Bacteria","Magnetococcales"
"sneathiellales","Sneathiellales",FALSE,1,353998,FALSE,"",1,NA,NA,"Bacteria","Sneathiellales"
"kordiimonadales","Kordiimonadales",FALSE,1,84465,FALSE,"",1,NA,NA,"Bacteria","Kordiimonadales"
"kopriimonadales","Kopriimonadales",FALSE,1,47822,FALSE,"barren, merged",1,NA,NA,"Bacteria","Kopriimonadales"
"parvularculales","Parvularculales",FALSE,1,318326,FALSE,"",1,NA,NA,"Bacteria","Parvularculales"
"caulobacterales","Caulobacterales",FALSE,1,800609,FALSE,"",1,NA,NA,"Bacteria","Caulobacterales"
"sphingomonadales","Sphingomonadales",FALSE,1,800600,FALSE,"",1,NA,NA,"Bacteria","Sphingomonadales"
"rhodobacterales","Rhodobacterales",FALSE,1,800604,FALSE,"",1,NA,NA,"Bacteria","Rhodobacterales"
"rhodospirillales","Rhodospirillales",FALSE,1,277145,FALSE,"",1,NA,NA,"Bacteria","Rhodospirillales"
"rickettsiales","Rickettsiales",FALSE,1,571642,FALSE,"",1,NA,NA,"Bacteria","Rickettsiales"
"hyphomicrobiales","Rhizobiales (order silva:D11342/#4)",FALSE,1,1091894,TRUE,"",1,NA,NA,"Bacteria","Rhizobiales (order silva:D11342/#4)"
"nitrosococcales","Nitrosococcus",TRUE,0.769230782985687,248064,FALSE,"",1,NA,NA,"Bacteria","Nitrosococcus"
"granulosicoccales","Granulosicoccaceae",TRUE,0.833333313465118,377598,FALSE,"",2,NA,NA,"Bacteria","Granulosicoccaceae"
"methylohalomonadales","Methylohalomonas",TRUE,0.75,4018810,FALSE,"",1,NA,NA,"Bacteria","Methylohalomonas"
"thiohalospirales","Thiohalospira",TRUE,0.769230782985687,291721,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thiohalospira"
"thiohalorhabdales","Thiohalorhabdus",TRUE,0.800000011920929,4790465,FALSE,"incertae_sedis",1,NA,NA,"Bacteria","Thiohalorhabdus"
"immundisolibacterales","Immundisolibacterales",FALSE,1,7035162,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Immundisolibacterales"
"nevskiales","Nevskiales",FALSE,1,5908093,FALSE,"barren, sibling_higher, inconsistent",1,NA,NA,"Bacteria","Nevskiales"
"cellvibrionales","Cellvibrionales",FALSE,1,5575239,FALSE,"barren, sibling_higher, inconsistent",1,NA,NA,"Bacteria","Cellvibrionales"
"acidiferrobacterales","Acidiferrobacterales",FALSE,1,5575237,FALSE,"barren, merged",1,NA,NA,"Bacteria","Acidiferrobacterales"
"arenicellales","Arenicellales",FALSE,1,5575238,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Arenicellales"
"orbales","Orbales",FALSE,1,105442,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Orbales"
"salinisphaerales","Salinisphaerales",FALSE,1,575772,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Salinisphaerales"
"pasteurellales","Pasteurellales",FALSE,1,767311,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Pasteurellales"
"aeromonadales","Aeromonadales",FALSE,1,767314,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Aeromonadales"
"vibrionales","Vibrionales",FALSE,1,767331,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Vibrionales"
"alteromonadales","Alteromonadales",FALSE,1,767334,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Alteromonadales"
"oceanospirillales","Oceanospirillales",FALSE,1,193053,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Oceanospirillales"
"methylococcales","Methylococcales",FALSE,1,193050,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Methylococcales"
"cardiobacteriales","Cardiobacteriales",FALSE,1,193067,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Cardiobacteriales"
"lysobacterales","Xanthomonadales",FALSE,1,193065,TRUE,"sibling_higher",1,NA,NA,"Bacteria","Xanthomonadales"
"chromatiales","Chromatiales",FALSE,1,193062,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Chromatiales"
"legionellales","Legionellales",FALSE,1,899055,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Legionellales"
"enterobacterales","Enterobacteriales",FALSE,1,768012,TRUE,"sibling_higher",1,NA,NA,"Bacteria","Enterobacteriales"
"pseudomonadales","Pseudomonadales",FALSE,1,191376,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Pseudomonadales"
"thiotrichales","Thiotrichales",FALSE,1,191359,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thiotrichales"
"caldisericales","Caldisericales",FALSE,1,859188,FALSE,"",1,NA,NA,"Bacteria","Caldisericales"
"nitrospinales","Nitrospinales",FALSE,1,164105,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Nitrospinales"
"thermomicrobiales","Thermomicrobiales",FALSE,1,1085865,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermomicrobiales"
"sphaerobacterales","Sphaerobacterales",FALSE,1,282099,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Sphaerobacterales"
"abditibacteriales","Abditibacteriales",FALSE,1,7001795,FALSE,"unplaced_inherited",1,NA,NA,"Bacteria","Abditibacteriales"
"mycoplasmoidales","Mycoplasmatales",TRUE,0.800000011920929,543630,FALSE,"",1,NA,NA,"Bacteria","Mycoplasmatales"
"haloplasmatales","Haloplasmatales",FALSE,1,4766962,FALSE,"",1,NA,NA,"Bacteria","Haloplasmatales"
"anaeroplasmatales","Anaeroplasmatales",FALSE,1,728925,FALSE,"",1,NA,NA,"Bacteria","Anaeroplasmatales"
"acholeplasmatales","Acholeplasmatales",FALSE,1,205586,FALSE,"",1,NA,NA,"Bacteria","Acholeplasmatales"
"entomoplasmatales","Entomoplasmatales",FALSE,1,205584,FALSE,"",1,NA,NA,"Bacteria","Entomoplasmatales"
"mycoplasmatales","Mycoplasmatales",FALSE,1,543630,FALSE,"",1,NA,NA,"Bacteria","Mycoplasmatales"
"thermincolales","Thermincola",TRUE,0.727272748947144,659529,FALSE,"",1,NA,NA,"Bacteria","Thermincola"
"carboxydocellales","Carboxydocella",TRUE,0.785714268684387,215173,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Carboxydocella"
"gaiellales","Gaiellales",FALSE,1,232868,FALSE,"",1,NA,NA,"Bacteria","Gaiellales"
