"x","y","Genera"
31.1659685625,56.31643685,1
36.4952698875,56.31643685,19
40.0481374375,56.31643685,1
47.1538725375,56.31643685,1
-132.2659387375,55.52048095,1
-7.91557448750001,55.52048095,1
-6.13914071250002,55.52048095,14
-4.36270693750001,55.52048095,7
-2.58627316250002,55.52048095,8
-0.809839387500006,55.52048095,1
8.07232948749999,55.52048095,5
9.8487632625,55.52048095,11
11.6251970375,55.52048095,17
13.4016308125,55.52048095,16
20.5073659125,55.52048095,1
22.2837996875,55.52048095,2
36.4952698875,55.52048095,1
38.2717036625,55.52048095,16
40.0481374375,55.52048095,1
59.5889089625,55.52048095,1
68.4710778375,55.52048095,1
-128.7130711875,54.72452505,1
-7.91557448750001,54.72452505,1
-6.13914071250002,54.72452505,1
-4.36270693750001,54.72452505,3
-2.58627316250002,54.72452505,27
-0.809839387500006,54.72452505,10
9.8487632625,54.72452505,15
11.6251970375,54.72452505,1
13.4016308125,54.72452505,1
15.1780645875,54.72452505,1
16.9544983625,54.72452505,11
18.7309321375,54.72452505,14
25.8366672375,54.72452505,3
27.6131010125,54.72452505,12
72.0239453875,54.72452505,1
73.8003791625,54.72452505,1
159.0692003625,54.72452505,1
-132.2659387375,53.92856915,3
-123.3837698625,53.92856915,1
-7.91557448750001,53.92856915,2
-6.13914071250002,53.92856915,2
-4.36270693750001,53.92856915,1
-2.58627316250002,53.92856915,20
-0.809839387500006,53.92856915,34
9.8487632625,53.92856915,4
11.6251970375,53.92856915,1
18.7309321375,53.92856915,1
22.2837996875,53.92856915,1
36.4952698875,53.92856915,1
38.2717036625,53.92856915,1
-130.4895049625,53.13261325,2
-128.7130711875,53.13261325,1
-118.0544685375,53.13261325,3
-114.5016009875,53.13261325,1
-112.7251672125,53.13261325,1
-9.6920082625,53.13261325,1
-7.91557448750001,53.13261325,3
-6.13914071250002,53.13261325,2
-4.36270693750001,53.13261325,10
-2.58627316250002,53.13261325,45
-0.809839387500006,53.13261325,38
0.966594387499981,53.13261325,9
4.51946193749998,53.13261325,7
6.2958957125,53.13261325,22
9.8487632625,53.13261325,1
13.4016308125,53.13261325,3
79.1296804875,53.13261325,1
-128.7130711875,52.33665735,3
-119.8309023125,52.33665735,2
-118.0544685375,52.33665735,1
-109.1722996625,52.33665735,1
-9.6920082625,52.33665735,1
-7.91557448750001,52.33665735,1
-6.13914071250002,52.33665735,1
-4.36270693750001,52.33665735,2
-2.58627316250002,52.33665735,13
-0.809839387500006,52.33665735,21
0.966594387499981,52.33665735,12
4.51946193749998,52.33665735,45
6.2958957125,52.33665735,35
8.07232948749999,52.33665735,2
9.8487632625,52.33665735,5
11.6251970375,52.33665735,1
13.4016308125,52.33665735,15
15.1780645875,52.33665735,2
16.9544983625,52.33665735,2
20.5073659125,52.33665735,3
24.0602334625,52.33665735,2
34.7188361125,52.33665735,1
80.9061142625,52.33665735,1
-128.7130711875,51.54070145,2
-121.6073360875,51.54070145,1
-119.8309023125,51.54070145,1
-116.2780347625,51.54070145,2
-7.91557448750001,51.54070145,1
-4.36270693750001,51.54070145,5
-2.58627316250002,51.54070145,23
-0.809839387500006,51.54070145,34
0.966594387499981,51.54070145,6
2.7430281625,51.54070145,9
4.51946193749998,51.54070145,32
6.2958957125,51.54070145,35
8.07232948749999,51.54070145,5
9.8487632625,51.54070145,20
11.6251970375,51.54070145,5
16.9544983625,51.54070145,1
18.7309321375,51.54070145,6
20.5073659125,51.54070145,3
54.2596076375,51.54070145,1
79.1296804875,51.54070145,1
95.1175844625,51.54070145,1
103.9997533375,51.54070145,1
119.9876573125,51.54070145,1
-128.7130711875,50.74474555,3
-126.9366374125,50.74474555,3
-119.8309023125,50.74474555,7
-114.5016009875,50.74474555,3
-4.36270693750001,50.74474555,23
-2.58627316250002,50.74474555,3
-0.809839387500006,50.74474555,35
0.966594387499981,50.74474555,10
2.7430281625,50.74474555,2
4.51946193749998,50.74474555,11
6.2958957125,50.74474555,18
8.07232948749999,50.74474555,27
9.8487632625,50.74474555,16
11.6251970375,50.74474555,4
13.4016308125,50.74474555,3
15.1780645875,50.74474555,9
16.9544983625,50.74474555,1
20.5073659125,50.74474555,2
22.2837996875,50.74474555,1
24.0602334625,50.74474555,1
29.3895347875,50.74474555,1
31.1659685625,50.74474555,2
36.4952698875,50.74474555,1
114.6583559875,50.74474555,1
116.4347897625,50.74474555,1
118.2112235375,50.74474555,1
119.9876573125,50.74474555,1
-126.9366374125,49.94878965,1
-125.1602036375,49.94878965,23
-123.3837698625,49.94878965,9
-119.8309023125,49.94878965,2
-116.2780347625,49.94878965,1
-109.1722996625,49.94878965,1
-96.7372632375,49.94878965,1
-94.9608294625,49.94878965,1
-6.13914071250002,49.94878965,11
-4.36270693750001,49.94878965,20
0.966594387499981,49.94878965,2
4.51946193749998,49.94878965,8
6.2958957125,49.94878965,26
8.07232948749999,49.94878965,23
9.8487632625,49.94878965,4
11.6251970375,49.94878965,3
13.4016308125,49.94878965,2
15.1780645875,49.94878965,5
16.9544983625,49.94878965,14
18.7309321375,49.94878965,4
20.5073659125,49.94878965,6
22.2837996875,49.94878965,1
27.6131010125,49.94878965,2
31.1659685625,49.94878965,1
36.4952698875,49.94878965,2
111.1054884375,49.94878965,1
112.8819222125,49.94878965,1
116.4347897625,49.94878965,1
118.2112235375,49.94878965,1
-126.9366374125,49.15283375,5
-125.1602036375,49.15283375,21
-123.3837698625,49.15283375,40
-121.6073360875,49.15283375,16
-119.8309023125,49.15283375,1
-118.0544685375,49.15283375,1
-71.8671903875,49.15283375,1
0.966594387499981,49.15283375,5
2.7430281625,49.15283375,20
4.51946193749998,49.15283375,3
8.07232948749999,49.15283375,9
9.8487632625,49.15283375,20
11.6251970375,49.15283375,4
13.4016308125,49.15283375,10
15.1780645875,49.15283375,1
16.9544983625,49.15283375,5
18.7309321375,49.15283375,7
20.5073659125,49.15283375,2
-125.1602036375,48.35687785,7
-123.3837698625,48.35687785,21
-121.6073360875,48.35687785,2
-91.4079619125,48.35687785,1
-89.6315281375,48.35687785,1
-71.8671903875,48.35687785,1
-4.36270693750001,48.35687785,14
-2.58627316250002,48.35687785,24
-0.809839387500006,48.35687785,5
0.966594387499981,48.35687785,9
2.7430281625,48.35687785,20
4.51946193749998,48.35687785,5
6.2958957125,48.35687785,2
8.07232948749999,48.35687785,17
9.8487632625,48.35687785,4
11.6251970375,48.35687785,6
13.4016308125,48.35687785,2
15.1780645875,48.35687785,9
16.9544983625,48.35687785,12
18.7309321375,48.35687785,8
22.2837996875,48.35687785,6
-125.1602036375,47.56092195,2
-123.3837698625,47.56092195,4
-121.6073360875,47.56092195,8
-118.0544685375,47.56092195,1
-98.5136970125,47.56092195,1
-91.4079619125,47.56092195,4
-70.0907566125,47.56092195,1
-0.809839387500006,47.56092195,3
0.966594387499981,47.56092195,5
2.7430281625,47.56092195,2
4.51946193749998,47.56092195,5
6.2958957125,47.56092195,1
8.07232948749999,47.56092195,23
9.8487632625,47.56092195,10
11.6251970375,47.56092195,24
13.4016308125,47.56092195,16
15.1780645875,47.56092195,16
16.9544983625,47.56092195,13
18.7309321375,47.56092195,6
20.5073659125,47.56092195,2
-123.3837698625,46.76496605,5
-121.6073360875,46.76496605,2
-87.8550943625,46.76496605,3
-84.3022268125,46.76496605,2
-71.8671903875,46.76496605,2
-61.2085877375,46.76496605,1
0.966594387499981,46.76496605,4
2.7430281625,46.76496605,1
4.51946193749998,46.76496605,4
6.2958957125,46.76496605,19
8.07232948749999,46.76496605,1
9.8487632625,46.76496605,3
11.6251970375,46.76496605,6
13.4016308125,46.76496605,9
15.1780645875,46.76496605,32
16.9544983625,46.76496605,10
18.7309321375,46.76496605,9
20.5073659125,46.76496605,6
22.2837996875,46.76496605,4
24.0602334625,46.76496605,1
-123.3837698625,45.96901015,1
-121.6073360875,45.96901015,2
-91.4079619125,45.96901015,1
-84.3022268125,45.96901015,3
-78.9729254875,45.96901015,2
-77.1964917125,45.96901015,2
-75.4200579375,45.96901015,1
-73.6436241625,45.96901015,4
-71.8671903875,45.96901015,2
-66.5378890625,45.96901015,2
-64.7614552875,45.96901015,6
-61.2085877375,45.96901015,1
-59.4321539625,45.96901015,1
-0.809839387500006,45.96901015,1
2.7430281625,45.96901015,6
4.51946193749998,45.96901015,4
6.2958957125,45.96901015,7
8.07232948749999,45.96901015,12
9.8487632625,45.96901015,14
11.6251970375,45.96901015,2
13.4016308125,45.96901015,6
15.1780645875,45.96901015,8
18.7309321375,45.96901015,5
-123.3837698625,45.17305425,10
-121.6073360875,45.17305425,1
-87.8550943625,45.17305425,1
-84.3022268125,45.17305425,2
-80.7493592625,45.17305425,2
-78.9729254875,45.17305425,3
-75.4200579375,45.17305425,7
-73.6436241625,45.17305425,2
-71.8671903875,45.17305425,1
-68.3143228375,45.17305425,1
-66.5378890625,45.17305425,2
-64.7614552875,45.17305425,8
-62.9850215125,45.17305425,6
0.966594387499981,45.17305425,1
2.7430281625,45.17305425,1
4.51946193749998,45.17305425,3
6.2958957125,45.17305425,6
8.07232948749999,45.17305425,20
9.8487632625,45.17305425,1
11.6251970375,45.17305425,2
13.4016308125,45.17305425,4
15.1780645875,45.17305425,3
32.9424023375,45.17305425,2
34.7188361125,45.17305425,1
146.6341639375,45.17305425,1
-123.3837698625,44.37709835,10
-116.2780347625,44.37709835,1
-94.9608294625,44.37709835,1
-93.1843956875,44.37709835,1
-89.6315281375,44.37709835,1
-87.8550943625,44.37709835,1
-80.7493592625,44.37709835,1
-78.9729254875,44.37709835,10
-77.1964917125,44.37709835,4
-73.6436241625,44.37709835,5
-71.8671903875,44.37709835,4
-70.0907566125,44.37709835,2
-68.3143228375,44.37709835,13
-66.5378890625,44.37709835,1
-64.7614552875,44.37709835,5
-62.9850215125,44.37709835,2
-0.809839387500006,44.37709835,2
2.7430281625,44.37709835,4
4.51946193749998,44.37709835,13
6.2958957125,44.37709835,1
8.07232948749999,44.37709835,2
9.8487632625,44.37709835,1
11.6251970375,44.37709835,2
15.1780645875,44.37709835,7
16.9544983625,44.37709835,1
20.5073659125,44.37709835,1
32.9424023375,44.37709835,1
34.7188361125,44.37709835,3
38.2717036625,44.37709835,1
40.0481374375,44.37709835,1
43.6010049875,44.37709835,1
134.1991275125,44.37709835,1
135.9755612875,44.37709835,1
146.6341639375,44.37709835,1
-123.3837698625,43.58114245,2
-121.6073360875,43.58114245,1
-96.7372632375,43.58114245,1
-91.4079619125,43.58114245,3
-84.3022268125,43.58114245,1
-80.7493592625,43.58114245,2
-78.9729254875,43.58114245,1
-73.6436241625,43.58114245,7
-71.8671903875,43.58114245,6
-64.7614552875,43.58114245,1
-7.91557448750001,43.58114245,2
-4.36270693750001,43.58114245,1
2.7430281625,43.58114245,10
4.51946193749998,43.58114245,16
6.2958957125,43.58114245,10
8.07232948749999,43.58114245,3
9.8487632625,43.58114245,1
11.6251970375,43.58114245,4
13.4016308125,43.58114245,1
15.1780645875,43.58114245,1
16.9544983625,43.58114245,1
40.0481374375,43.58114245,2
43.6010049875,43.58114245,1
118.2112235375,43.58114245,1
134.1991275125,43.58114245,1
144.8577301625,43.58114245,1
146.6341639375,43.58114245,2
-125.1602036375,42.78518655,1
-118.0544685375,42.78518655,1
-89.6315281375,42.78518655,1
-86.0786605875,42.78518655,1
-78.9729254875,42.78518655,3
-77.1964917125,42.78518655,3
-75.4200579375,42.78518655,1
-73.6436241625,42.78518655,13
-71.8671903875,42.78518655,19
-70.0907566125,42.78518655,1
-9.6920082625,42.78518655,1
-7.91557448750001,42.78518655,4
-6.13914071250002,42.78518655,2
-2.58627316250002,42.78518655,2
-0.809839387500006,42.78518655,3
0.966594387499981,42.78518655,1
2.7430281625,42.78518655,13
6.2958957125,42.78518655,1
9.8487632625,42.78518655,3
11.6251970375,42.78518655,3
18.7309321375,42.78518655,2
24.0602334625,42.78518655,1
40.0481374375,42.78518655,1
41.8245712125,42.78518655,1
132.4226937375,42.78518655,1
-89.6315281375,41.98923065,3
-87.8550943625,41.98923065,6
-86.0786605875,41.98923065,1
-80.7493592625,41.98923065,2
-78.9729254875,41.98923065,3
-77.1964917125,41.98923065,2
-73.6436241625,41.98923065,9
-71.8671903875,41.98923065,10
-70.0907566125,41.98923065,2
-9.6920082625,41.98923065,1
-7.91557448750001,41.98923065,8
-2.58627316250002,41.98923065,1
-0.809839387500006,41.98923065,1
0.966594387499981,41.98923065,2
2.7430281625,41.98923065,7
8.07232948749999,41.98923065,1
9.8487632625,41.98923065,1
11.6251970375,41.98923065,4
18.7309321375,41.98923065,3
24.0602334625,41.98923065,1
25.8366672375,41.98923065,1
-123.3837698625,41.19327475,4
-121.6073360875,41.19327475,2
-112.7251672125,41.19327475,1
-91.4079619125,41.19327475,1
-89.6315281375,41.19327475,7
-87.8550943625,41.19327475,3
-84.3022268125,41.19327475,1
-82.5257930375,41.19327475,2
-80.7493592625,41.19327475,2
-78.9729254875,41.19327475,2
-77.1964917125,41.19327475,2
-75.4200579375,41.19327475,11
-73.6436241625,41.19327475,8
-71.8671903875,41.19327475,2
-70.0907566125,41.19327475,4
-7.91557448750001,41.19327475,1
-6.13914071250002,41.19327475,1
-2.58627316250002,41.19327475,1
-0.809839387500006,41.19327475,1
0.966594387499981,41.19327475,1
2.7430281625,41.19327475,6
9.8487632625,41.19327475,2
13.4016308125,41.19327475,1
15.1780645875,41.19327475,7
24.0602334625,41.19327475,1
47.1538725375,41.19327475,1
-123.3837698625,40.39731885,1
-121.6073360875,40.39731885,3
-114.5016009875,40.39731885,1
-112.7251672125,40.39731885,1
-105.6194321125,40.39731885,1
-91.4079619125,40.39731885,2
-80.7493592625,40.39731885,2
-78.9729254875,40.39731885,2
-77.1964917125,40.39731885,2
-75.4200579375,40.39731885,6
-73.6436241625,40.39731885,12
-9.6920082625,40.39731885,1
-7.91557448750001,40.39731885,3
-4.36270693750001,40.39731885,5
-2.58627316250002,40.39731885,3
0.966594387499981,40.39731885,1
15.1780645875,40.39731885,3
18.7309321375,40.39731885,3
22.2837996875,40.39731885,1
-121.6073360875,39.60136295,10
-119.8309023125,39.60136295,1
-105.6194321125,39.60136295,2
-87.8550943625,39.60136295,3
-86.0786605875,39.60136295,1
-82.5257930375,39.60136295,14
-80.7493592625,39.60136295,4
-78.9729254875,39.60136295,3
-77.1964917125,39.60136295,5
-75.4200579375,39.60136295,5
-73.6436241625,39.60136295,2
-7.91557448750001,39.60136295,5
-4.36270693750001,39.60136295,2
-2.58627316250002,39.60136295,1
-0.809839387500006,39.60136295,3
